frame_index,t_rel_s,interval_s,size_bytes,width,height,file
1,0.172,0.172,5212,324,244,frame_00001.jpg
2,0.266,0.094,5161,324,244,frame_00002.jpg
3,0.438,0.172,5189,324,244,frame_00003.jpg
4,0.531,0.093,5212,324,244,frame_00004.jpg
5,0.656,0.125,5213,324,244,frame_00005.jpg
6,0.797,0.141,5213,324,244,frame_00006.jpg
7,0.938,0.141,5224,324,244,frame_00007.jpg
8,1.063,0.125,5159,324,244,frame_00008.jpg
9,1.234,0.171,5299,324,244,frame_00009.jpg
10,1.359,0.125,5194,324,244,frame_00010.jpg
11,1.453,0.094,5239,324,244,frame_00011.jpg
12,1.578,0.125,5167,324,244,frame_00012.jpg
13,1.719,0.141,5194,324,244,frame_00013.jpg
14,1.844,0.125,5243,324,244,frame_00014.jpg
15,1.969,0.125,5195,324,244,frame_00015.jpg
16,2.109,0.14,5205,324,244,frame_00016.jpg
17,2.281,0.172,5182,324,244,frame_00017.jpg
18,2.375,0.094,5203,324,244,frame_00018.jpg
19,2.5,0.125,5243,324,244,frame_00019.jpg
20,2.641,0.141,5254,324,244,frame_00020.jpg
21,2.766,0.125,5220,324,244,frame_00021.jpg
22,2.938,0.172,5283,324,244,frame_00022.jpg
23,3.031,0.093,5185,324,244,frame_00023.jpg
24,3.172,0.141,5183,324,244,frame_00024.jpg
25,3.297,0.125,5203,324,244,frame_00025.jpg
26,3.422,0.125,5195,324,244,frame_00026.jpg
27,3.563,0.141,5247,324,244,frame_00027.jpg
28,3.703,0.14,5219,324,244,frame_00028.jpg
29,3.828,0.125,5184,324,244,frame_00029.jpg
30,4.016,0.188,5209,324,244,frame_00030.jpg
31,4.094,0.078,5253,324,244,frame_00031.jpg
32,4.219,0.125,5235,324,244,frame_00032.jpg
33,4.344,0.125,5192,324,244,frame_00033.jpg
34,4.547,0.203,5195,324,244,frame_00034.jpg
35,4.609,0.062,5245,324,244,frame_00035.jpg
36,4.75,0.141,5159,324,244,frame_00036.jpg
37,4.891,0.141,5151,324,244,frame_00037.jpg
38,5.031,0.14,5202,324,244,frame_00038.jpg
39,5.188,0.157,5137,324,244,frame_00039.jpg
40,5.328,0.14,5183,324,244,frame_00040.jpg
41,5.469,0.141,5153,324,244,frame_00041.jpg
42,5.547,0.078,5163,324,244,frame_00042.jpg
43,5.672,0.125,5154,324,244,frame_00043.jpg
44,5.813,0.141,5146,324,244,frame_00044.jpg
45,5.953,0.14,5052,324,244,frame_00045.jpg
46,6.078,0.125,5120,324,244,frame_00046.jpg
47,6.203,0.125,5080,324,244,frame_00047.jpg
48,6.391,0.188,5055,324,244,frame_00048.jpg
49,6.469,0.078,5074,324,244,frame_00049.jpg
50,6.594,0.125,4974,324,244,frame_00050.jpg
51,6.734,0.14,4935,324,244,frame_00051.jpg
52,6.875,0.141,4896,324,244,frame_00052.jpg
53,6.984,0.109,4877,324,244,frame_00053.jpg
54,7.125,0.141,4790,324,244,frame_00054.jpg
55,7.297,0.172,4846,324,244,frame_00055.jpg
56,7.391,0.094,4840,324,244,frame_00056.jpg
57,7.516,0.125,4895,324,244,frame_00057.jpg
58,7.656,0.14,4921,324,244,frame_00058.jpg
59,7.797,0.141,4943,324,244,frame_00059.jpg
60,7.906,0.109,4918,324,244,frame_00060.jpg
61,8.109,0.203,4907,324,244,frame_00061.jpg
62,8.172,0.063,4944,324,244,frame_00062.jpg
63,8.313,0.141,4964,324,244,frame_00063.jpg
64,8.5,0.187,4916,324,244,frame_00064.jpg
65,8.578,0.078,4961,324,244,frame_00065.jpg
66,8.719,0.141,5048,324,244,frame_00066.jpg
67,8.844,0.125,5070,324,244,frame_00067.jpg
68,9.0,0.156,5166,324,244,frame_00068.jpg
69,9.156,0.156,5224,324,244,frame_00069.jpg
70,9.234,0.078,5233,324,244,frame_00070.jpg
71,9.359,0.125,5220,324,244,frame_00071.jpg
72,9.5,0.141,5219,324,244,frame_00072.jpg
73,9.641,0.141,5218,324,244,frame_00073.jpg
74,9.766,0.125,5288,324,244,frame_00074.jpg
75,9.891,0.125,5285,324,244,frame_00075.jpg
76,10.031,0.14,5266,324,244,frame_00076.jpg
77,10.172,0.141,5237,324,244,frame_00077.jpg
78,10.281,0.109,5246,324,244,frame_00078.jpg
79,10.469,0.188,5243,324,244,frame_00079.jpg
80,10.578,0.109,5204,324,244,frame_00080.jpg
